"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","Quantity","Method"
"0xf1ff8924c912b4b892978096cff13e6c44fd00d1850648925448f04039637301","18870798","1724530943","2024-08-24 20:22:23","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x19bc334ab56c18128c188a6543acb49c84b43c2e","31,124","Swap UDT For UP"
"0x0d73412f02ac22b9ccc0dea472a2660126003d18ddc7cbc5a531f922c5678018","18879737","1724548821","2024-08-25 01:20:21","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x0d8410643ae7a4d833c7219e5c6fadfa5ce912cd","6,689","Swap UDT For UP"
"0x5ad2963a54d789302de380e1748ca35836dee234452df0a58b14afa109fb0cf2","18886119","1724561585","2024-08-25 04:53:05","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x0d8410643ae7a4d833c7219e5c6fadfa5ce912cd","7,040,886.911961507623346","Swap UDT For UP"
"0x89932b026aa49689c52f583549c824e8513088266d506c8b55a7c961286352c8","18980197","1724749741","2024-08-27 09:09:01","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x6b0ea34cc854316dd8784502ff85c1cb24f800b4","1,000","Swap UDT For UP"
"0x78f7f70b726561110513d3a7e5b6ff7f3414a342e20020bc6178de72f2db760f","19031894","1724853135","2024-08-28 13:52:15","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x84284527483df52b5d37dbb4fb4119f6055288a1","17,000","Swap UDT For UP"
"0x716bcfa905a3f485adf909b95b817fb9d0edc2df8d135c0049892f184178c72d","19038787","1724866921","2024-08-28 17:42:01","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xaa3600788b72863ff51c8f0db5f10bb65fbfeab4","122,353","Swap UDT For UP"
"0x371d6d95e57a2e6f310298b5d5c7d4cb548af634a58f4aead9f6dfc886b278ff","19076205","1724941757","2024-08-29 14:29:17","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xcfd35259e3a468e7bdf84a95bcddac0b614a9212","109,999","Swap UDT For UP"
"0x15f09e4090c9d15823bd6aff87c5f8a60314ea6a0922421e2479a9d09236d00c","19078126","1724945599","2024-08-29 15:33:19","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x78d08a94ca2dee362373ff5910f52ef3a0a2ba97","100,900","Swap UDT For UP"
"0x232fe7598ed56d40b942dcf01cf2099990adf9f10160c35f7ada77a5a0185e23","19089276","1724967899","2024-08-29 21:44:59","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0xca7632327567796e51920f6b16373e92c7823854","68,200","Swap UDT For UP"
"0xb0c8f4a5f858cd5e25d7c3566d4cefae99b94923bb1e52d620302066f334bc9d","19097050","1724983447","2024-08-30 02:04:07","0x12be7322070cfa75e2f001c6b3d6ac8c2efef5ea","0x968dcb921a822643fa28cca5f4cf6034399ab40e","11,000","Swap UDT For UP"
